RealizationOfRec,Verb,AnimacyOfRec,AnimacyOfTheme,LengthOfTheme
NP,feed,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,4.999999937829499
NP,offer,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,4.00000015552044
NP,pay,animate,inanimate,4.00000015552044
NP,bring,animate,inanimate,1
NP,teach,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,2.00000003888011
NP,offer,animate,inanimate,3.0000000339956716
NP,give,inanimate,inanimate,3.0000000339956716
NP,pay,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,2.00000003888011
NP,send,animate,inanimate,35.00000134787054
NP,pay,animate,inanimate,3.0000000339956716
NP,grant,animate,inanimate,4.00000015552044
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,18.000000757869053
NP,grant,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,10.000000070059542
NP,give,inanimate,inanimate,22.999999633629564
NP,give,inanimate,inanimate,2.00000003888011
NP,give,animate,inanimate,13.000000553000037
NP,give,animate,inanimate,18.000000757869053
NP,send,animate,inanimate,1
NP,send,animate,inanimate,2.00000003888011
NP,deny,animate,inanimate,18.000000757869053
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,2.00000003888011
NP,hand,animate,inanimate,2.00000003888011
NP,owe,animate,inanimate,6.9999996566128155
NP,bring,animate,inanimate,4.999999937829499
NP,cost,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,2.00000003888011
NP,cost,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,33.999999163050525
NP,cost,animate,inanimate,2.00000003888011
NP,give,animate,inanimate,6.9999996566128155
NP,give,animate,inanimate,6.000000184631673
NP,offer,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,11.000000299217929
NP,give,animate,inanimate,13.999999585386387
NP,give,animate,inanimate,4.00000015552044
NP,cost,animate,inanimate,3.0000000339956716
NP,offer,animate,inanimate,4.999999937829499
NP,give,animate,inanimate,10.000000070059542
NP,give,animate,inanimate,9.000000203974029
NP,give,animate,inanimate,2.00000003888011
NP,give,animate,animate,3.0000000339956716
NP,give,animate,inanimate,11.000000299217929
NP,send,animate,inanimate,10.000000070059542
NP,pay,animate,inanimate,7.999999666561321
NP,give,animate,inanimate,13.000000553000037
NP,owe,animate,inanimate,6.9999996566128155
NP,loan,animate,inanimate,2.00000003888011
NP,award,animate,inanimate,3.0000000339956716
NP,give,animate,inanimate,11.999999402544011
NP,give,inanimate,inanimate,4.999999937829499
NP,give,animate,inanimate,31.999999910408746
NP,give,animate,inanimate,11.999999402544011
NP,give,animate,inanimate,6.9999996566128155
NP,pay,inanimate,inanimate,2.00000003888011
NP,pay,animate,inanimate,6.000000184631673
NP,give,animate,inanimate,6.000000184631673
NP,give,inanimate,inanimate,3.0000000339956716
