Group,ID,List,Target,RT,RT_log,Critical_Filler,Word_Nonword,Relation_type,Branching,accuracy
L1,L1_01,A,unawareness,603,6.4019,Critical,Word,Unrelated,Left,correct
L1,L1_01,A,unholiness,739,6.6053,Critical,Word,Constituent,Left,correct
L1,L1_01,A,unhappiness,370,5.9135,Critical,Word,Unrelated,Left,correct
L1,L1_01,A,unsharpness,821,6.7105,Critical,Word,Constituent,Left,correct
L1,L1_01,A,unripeness,1035,6.9422,Critical,Word,Unrelated,Left,incorrect
L1,L1_01,A,undeniable,833,6.725,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,unskillful,740,6.6067,Critical,Word,Constituent,Right,correct
L1,L1_01,A,unkindness,498,6.2106,Critical,Word,NonConstituent,Left,correct
L1,L1_01,A,unwariness,1133,7.0326,Critical,Word,NonConstituent,Left,correct
L1,L1_01,A,unclearness,513,6.2403,Critical,Word,Constituent,Left,correct
L1,L1_01,A,unreadable,665,6.4998,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,reobtainable,964,6.8711,Critical,Word,NonConstituent,Left,incorrect
L1,L1_01,A,resealable,709,6.5639,Critical,Word,Unrelated,Left,correct
L1,L1_01,A,untruthful,527,6.2672,Critical,Word,Constituent,Right,correct
L1,L1_01,A,unavoidable,1026,6.9334,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,untouchable,502,6.2186,Critical,Word,Constituent,Right,correct
L1,L1_01,A,unmovable,527,6.2672,Critical,Word,Constituent,Right,correct
L1,L1_01,A,ungraceful,470,6.1527,Critical,Word,Constituent,Right,correct
L1,L1_01,A,uneventful,631,6.4473,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,unthankful,539,6.2897,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,recomputable,1154,7.051,Critical,Word,Unrelated,Left,incorrect
L1,L1_01,A,readjustable,605,6.4052,Critical,Word,Unrelated,Left,correct
L1,L1_01,A,reattachable,694,6.5425,Critical,Word,Constituent,Left,correct
L1,L1_01,A,resellable,635,6.4536,Critical,Word,Constituent,Left,correct
L1,L1_01,A,unresentful,689,6.5352,Critical,Word,Unrelated,Right,correct
L1,L1_01,A,unbreakable,538,6.2879,Critical,Word,Constituent,Right,correct
L1,L1_01,A,reclosable,677,6.5177,Critical,Word,NonConstituent,Left,correct
L1,L1_01,A,uncleverness,872,6.7708,Critical,Word,NonConstituent,Left,correct
L1,L1_01,A,reusable,581,6.3648,Critical,Word,NonConstituent,Left,correct
L1,L1_01,A,rehydratable,548,6.3063,Critical,Word,Constituent,Left,correct
L1,L1_02,B,unreadable,1015,6.9226,Critical,Word,Unrelated,Right,correct
L1,L1_02,B,unwariness,678,6.5191,Critical,Word,Unrelated,Left,incorrect
L1,L1_02,B,undeniable,915,6.8189,Critical,Word,Unrelated,Right,correct
L1,L1_02,B,readjustable,957,6.8638,Critical,Word,Constituent,Left,incorrect
L1,L1_02,B,unsharpness,705,6.5582,Critical,Word,NonConstituent,Left,correct
L1,L1_02,B,uneventful,731,6.5944,Critical,Word,Unrelated,Right,correct
L1,L1_02,B,ungraceful,667,6.5028,Critical,Word,Constituent,Right,correct
L1,L1_02,B,unthankful,602,6.4003,Critical,Word,Unrelated,Right,correct
L1,L1_02,B,rehydratable,1107,7.0094,Critical,Word,NonConstituent,Left,incorrect
L1,L1_02,B,unmovable,767,6.6425,Critical,Word,Constituent,Right,correct
L1,L1_02,B,resealable,871,6.7696,Critical,Word,Constituent,Left,correct
L1,L1_02,B,unawareness,544,6.2989,Critical,Word,Constituent,Left,correct
L1,L1_02,B,unripeness,774,6.6516,Critical,Word,Constituent,Left,correct
L1,L1_02,B,resellable,1592,7.3727,Critical,Word,NonConstituent,Left,correct
L1,L1_02,B,uncleverness,1055,6.9613,Critical,Word,Unrelated,Left,correct
L1,L1_02,B,reobtainable,693,6.541,Critical,Word,Unrelated,Left,incorrect
L1,L1_02,B,untouchable,607,6.4085,Critical,Word,Constituent,Right,correct
L1,L1_02,B,reclosable,855,6.7511,Critical,Word,Unrelated,Left,correct
L1,L1_02,B,untruthful,644,6.4677,Critical,Word,Constituent,Right,correct
L1,L1_02,B,unholiness,997,6.9048,Critical,Word,NonConstituent,Left,correct
L1,L1_02,B,unclearness,1147,7.0449,Critical,Word,NonConstituent,Left,correct
L1,L1_02,B,unavoidable,970,6.8773,Critical,Word,Unrelated,Right,correct
L1,L1_02,B,unresentful,1218,7.105,Critical,Word,Unrelated,Right,incorrect
L1,L1_02,B,reusable,845,6.7393,Critical,Word,Unrelated,Left,correct
L1,L1_02,B,unbreakable,685,6.5294,Critical,Word,Constituent,Right,correct
L1,L1_02,B,unkindness,724,6.5848,Critical,Word,Unrelated,Left,correct
L1,L1_02,B,unskillful,663,6.4968,Critical,Word,Constituent,Right,correct
L1,L1_02,B,unhappiness,530,6.2729,Critical,Word,Constituent,Left,correct
L1,L1_02,B,recomputable,816,6.7044,Critical,Word,Constituent,Left,correct
L1,L1_02,B,reattachable,893,6.7946,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,unholiness,860,6.7569,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,unbreakable,695,6.5439,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unwariness,1117,7.0184,Critical,Word,Constituent,Left,correct
L1,L1_03,C,unkindness,986,6.8937,Critical,Word,Constituent,Left,correct
L1,L1_03,C,untouchable,898,6.8002,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unsharpness,810,6.697,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,unhappiness,599,6.3953,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,reattachable,927,6.832,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,recomputable,1407,7.2492,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,reusable,653,6.4816,Critical,Word,Constituent,Left,correct
L1,L1_03,C,resealable,848,6.7429,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,unawareness,551,6.3117,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,rehydratable,642,6.4646,Critical,Word,Unrelated,Left,incorrect
L1,L1_03,C,reclosable,886,6.7867,Critical,Word,Constituent,Left,correct
L1,L1_03,C,unresentful,799,6.6834,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,unripeness,1024,6.9315,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,unmovable,624,6.4362,Critical,Word,Constituent,Right,correct
L1,L1_03,C,resellable,673,6.5117,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,untruthful,681,6.5236,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unavoidable,672,6.5103,Critical,Word,Unrelated,Right,correct
L1,L1_03,C,uneventful,654,6.4831,Critical,Word,Unrelated,Right,incorrect
L1,L1_03,C,ungraceful,734,6.5985,Critical,Word,Constituent,Right,correct
L1,L1_03,C,unclearness,744,6.612,Critical,Word,Unrelated,Left,correct
L1,L1_03,C,readjustable,680,6.5221,Critical,Word,NonConstituent,Left,correct
L1,L1_03,C,uncleverness,974,6.8814,Critical,Word,Constituent,Left,correct
