speaker,sentence,sentence_ons,sentence_off,c1_rel,c2_rel,v1_ons,v1_off
en01,We'll say 'tarkus' this Friday,6.953003,8.715772,7.408791737377485,7.730121393054856,7.473753633183347,7.623003
en01,She'll say 'terbus' this Sunday,10.537871,12.464062,11.098107673486213,11.39413614612976,11.167059434878714,11.318701962440239
en01,We'll say 'teegus' this Friday,14.015473,15.793495,14.476465356930541,14.728832716595022,14.543135088643922,14.658515272658125
en01,I'll say 'tarbus' this Thursday,17.424463,19.381159,17.851155084300824,18.14806831802293,17.94675602526758,18.062136209281782
en01,You'll say 'terbus' this Monday,24.178292,25.8576,24.61565124584757,24.88936138595166,24.695886678316402,24.831046322447325
en01,She'll say 'tarp' this Sunday,27.3,29.045608,27.79345524137984,28.16894214030239,27.899229713931526,28.06
en01,I'll say 'teeb' this Thursday,35.610214,37.307188,36.11763536490426,36.441220241226205,36.18616614515777,36.320214
en01,She'll say 'tarbus' this Sunday,38.634695,40.439073,39.14131415323038,39.44451734595231,39.212045884131626,39.36368841169315
en01,You'll say 'terkus' this Monday,41.861094,43.738506,42.327281000616,42.64427766822745,42.401933935682194,42.540390156499235
en01,She'll say 'terb' this Sunday,45.158319,46.756482,45.68623597459918,46.067572516336575,45.768319,45.93583138707428
en01,You'll say 'teep' this Monday,48.148431,49.660671,48.597859676475736,48.95182371828459,48.70938504845764,48.831358385844084
en01,She'll say 'tergus' this Sunday,51.065508,52.924989,51.57799344359258,51.886968938815706,51.646326197457405,51.82598962685095
en01,I'll say 'targ' this Thursday,54.336784,56.046647,54.74558006064647,55.10788435399785,54.86815255248643,55.051112558566096
en01,They'll say 'teep' this Tuesday,57.554591,59.409977,58.02672288228405,58.363946422280236,58.14532366078357,58.24916582639635
en01,They'll say 'tarpus' this Tuesday,63.510563,65.456713,63.960129545537306,64.3072738030478,64.05079935950599,64.200563
en01,We'll say 'targus' this Friday,67.054876,68.80852,67.47322970570401,67.79907625218611,67.54884835065772,67.73345664508044
en01,She'll say 'teegus' this Sunday,70.294984,72.067728,70.8100823839342,71.04801586957838,70.87293756350758,70.99161432420789
en01,I'll say 'terkus' this Thursday,73.295011,75.229977,73.74618739941762,74.05019557398118,73.845011,73.97058320351341
en01,I'll say 'teekus' this Thursday,76.754814,78.696668,77.22891571351614,77.50404308956827,77.3417139922494,77.4241284094024
en01,We'll say 'teek' this Friday,79.958992,81.398199,80.3710478842644,80.63494678897185,80.48331881799315,80.5508986400586
en01,They'll say 'terb' this Tuesday,83.116654,84.839405,83.62792306765336,83.99205041930719,83.71585542480982,83.876654
en01,They'll say 'terkus' this Tuesday,89.142574,91.088724,89.59901216126374,89.89864987501994,89.69482153834264,89.81844316407214
en01,We'll say 'terbus' this Friday,92.368973,94.186239,92.81842475833514,93.13245867132241,92.90949565070574,93.05289673655196
en01,We'll say 'terkus' this Friday,95.593772,97.299339,96.05361744030675,96.3660078364315,96.13056321967213,96.26572286380305
en01,You'll say 'terk' this Monday,98.630023,100.174745,99.11212122674061,99.47034683270655,99.22100212622993,99.370023
en01,You'll say 'targ' this Monday,101.964989,103.478475,102.43152963677498,102.77106445976014,102.5315601295796,102.70133382891478
en01,You'll say 'tark' this Monday,104.909088,106.488506,105.3732352921283,105.75540428114644,105.419088,105.649088
en01,They'll say 'teek' this Tuesday,107.932009,109.663352,108.42019783117912,108.72221097781255,108.5226088610386,108.61326471990691
en01,She'll say 'targus' this Sunday,111.210023,113.031524,111.68778075082143,112.0169170509067,111.77553850804796,111.95025707241233
en01,They'll say 'terg' this Tuesday,114.315011,116.01906,114.78500293972512,115.11722441661409,114.88081200969329,115.05882715074378
en01,I'll say 'terpus' this Thursday,120.452674,122.330086,120.88805761486154,121.20037968865049,120.97089600283833,121.09286934022477
en01,I'll say 'tark' this Thursday,123.570023,125.261577,124.01768344912364,124.34075484463217,124.11600434692171,124.250023
en01,They'll say 'tarp' this Tuesday,126.464495,128.178654,126.8968853042775,127.26311965910286,127.0210761729941,127.16118068215421
en01,They'll say 'terbus' this Tuesday,129.304242,131.203135,129.7919867389349,130.10495450252958,129.8852167126944,130.0203763568253
en01,You'll say 'terp' this Monday,132.310023,134.083267,132.779738931197,133.18588890075839,132.91302066221567,133.04323544131742
en01,She'll say 'tark' this Sunday,135.208855,136.935902,135.72247356568687,136.07014581400753,135.83388556620704,135.97234178702408
en01,You'll say 'tarb' this Monday,138.542658,140.037714,139.01552398752435,139.3402293853309,139.12445716778635,139.272658
en01,We'll say 'teeg' this Friday,141.530023,143.113008,142.01806699473593,142.33604395278908,142.1258885038188,142.26434472463583
en01,I'll say 'teebus' this Thursday,155.555011,157.430123,156.0306189188899,156.3122168571232,156.13059545942673,156.21960302995197
en01,You'll say 'teebus' this Monday,161.386866,163.040879,161.81366423334603,162.06737190461874,161.8996008835458,162.00179476081553
en01,You'll say 'teeg' this Monday,164.204392,165.70804,164.7041213688175,164.9693743968887,164.7948519601107,164.89704583738043
en01,They'll say 'teeg' this Tuesday,166.885182,168.612229,167.36922093146342,167.69739112005732,167.51462568624882,167.63165415860607
en01,She'll say 'terk' this Sunday,170.761783,172.441573,171.3895427061131,171.70821442671377,171.50874773299464,171.64390737712557
en01,They'll say 'tark' this Tuesday,173.721822,175.405908,174.1989802542957,174.53075519087147,174.29699802836294,174.421822
en01,You'll say 'teeb' this Monday,176.467054,178.055259,176.91835305244106,177.2997974199437,177.06272413133763,177.20282864049773
en01,We'll say 'targ' this Friday,179.460096,180.980929,179.87909052619383,180.22825880155398,179.99945833868395,180.16758374967606
en01,You'll say 'terb' this Monday,182.281488,183.819505,182.75142654519456,183.10046580419146,182.84986072723055,183.0130412731935
en01,They'll say 'teebus' this Tuesday,185.275011,187.118939,185.73000428308376,186.03478192019895,185.83776085376266,185.9547893261199
en01,They'll say 'tarkus' this Tuesday,188.424989,190.301401,188.84417116741898,189.18995047547295,188.93375820542525,189.1167182115049
en01,They'll say 'terp' this Tuesday,191.6,193.252848,192.09025181720148,192.4346898308792,192.1992605791031,192.34925481832158
en01,They'll say 'targ' this Tuesday,194.541689,196.281079,194.99611897296091,195.35991948289177,195.1224635769489,195.2872924112549
en01,I'll say 'tarpus' this Thursday,197.634363,199.580513,198.0646620726608,198.41812239491023,198.15748150480286,198.31736547407968
en01,We'll say 'tarpus' this Friday,200.710023,202.578046,201.14730000654475,201.51042858451234,201.23919610578713,201.37270746157498
en01,I'll say 'tergus' this Thursday,206.685154,208.575299,207.12484833125777,207.43567164377677,207.23587226290198,207.374328483719
en01,We'll say 'terk' this Friday,209.657926,211.164989,210.0823078660209,210.39695271838156,210.1779652185844,210.31642143940144
